"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"8",28,90,10,"substate_estimates/site_8",2022-12-21
"8",28,90,10,"substate_estimates/site_8",2023-04-17
"8",28,90,10,"substate_estimates/site_8",2023-01-11
"8",28,90,10,"substate_estimates/site_8",2023-01-26
"8",28,90,10,"substate_estimates/site_8",2023-01-13
"8",28,90,10,"substate_estimates/site_8",2023-02-05
"8",28,90,10,"substate_estimates/site_8",2022-12-23
"8",28,90,10,"substate_estimates/site_8",2023-02-06
"8",28,90,10,"substate_estimates/site_8",2023-04-06
"8",28,90,10,"substate_estimates/site_8",2022-11-13
