"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"13",28,90,10,"substate_estimates/site_13",2023-01-29
"13",28,90,10,"substate_estimates/site_13",2022-11-24
"13",28,90,10,"substate_estimates/site_13",2023-02-19
"13",28,90,10,"substate_estimates/site_13",2023-01-24
"13",28,90,10,"substate_estimates/site_13",2023-02-12
"13",28,90,10,"substate_estimates/site_13",2022-11-30
"13",28,90,10,"substate_estimates/site_13",2023-03-22
"13",28,90,10,"substate_estimates/site_13",2023-03-31
"13",28,90,10,"substate_estimates/site_13",2023-04-06
"13",28,90,10,"substate_estimates/site_13",2023-02-17
