"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"19",28,90,10,"substate_estimates/site_19",2022-12-06
"19",28,90,10,"substate_estimates/site_19",2023-03-20
"19",28,90,10,"substate_estimates/site_19",2023-03-22
"19",28,90,10,"substate_estimates/site_19",2022-12-31
"19",28,90,10,"substate_estimates/site_19",2023-01-30
"19",28,90,10,"substate_estimates/site_19",2023-04-18
"19",28,90,10,"substate_estimates/site_19",2023-02-21
"19",28,90,10,"substate_estimates/site_19",2023-04-12
"19",28,90,10,"substate_estimates/site_19",2023-01-08
"19",28,90,10,"substate_estimates/site_19",2022-12-27
