"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"6",28,90,10,"substate_estimates/site_6",2023-01-10
"6",28,90,10,"substate_estimates/site_6",2023-02-17
"6",28,90,10,"substate_estimates/site_6",2022-12-12
"6",28,90,10,"substate_estimates/site_6",2023-02-06
"6",28,90,10,"substate_estimates/site_6",2022-11-25
"6",28,90,10,"substate_estimates/site_6",2022-11-23
"6",28,90,10,"substate_estimates/site_6",2022-12-04
"6",28,90,10,"substate_estimates/site_6",2023-03-06
"6",28,90,10,"substate_estimates/site_6",2023-01-23
"6",28,90,10,"substate_estimates/site_6",2022-11-09
