"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"20",28,90,10,"substate_estimates/site_20",2023-04-17
"20",28,90,10,"substate_estimates/site_20",2023-04-15
"20",28,90,10,"substate_estimates/site_20",2023-03-21
"20",28,90,10,"substate_estimates/site_20",2023-03-07
"20",28,90,10,"substate_estimates/site_20",2022-11-15
"20",28,90,10,"substate_estimates/site_20",2023-02-25
"20",28,90,10,"substate_estimates/site_20",2022-11-17
"20",28,90,10,"substate_estimates/site_20",2022-11-16
"20",28,90,10,"substate_estimates/site_20",2023-03-11
"20",28,90,10,"substate_estimates/site_20",2023-01-05
