"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
1,28,90,10,"substate_estimates/site_1",2023-03-27
1,28,90,10,"substate_estimates/site_1",2023-01-04
1,28,90,10,"substate_estimates/site_1",2023-01-14
1,28,90,10,"substate_estimates/site_1",2023-01-02
1,28,90,10,"substate_estimates/site_1",2023-04-07
1,28,90,10,"substate_estimates/site_1",2023-03-18
1,28,90,10,"substate_estimates/site_1",2022-12-15
1,28,90,10,"substate_estimates/site_1",2023-01-08
1,28,90,10,"substate_estimates/site_1",2022-11-27
1,28,90,10,"substate_estimates/site_1",2023-02-26
