"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"7",28,90,10,"substate_estimates/site_7",2022-11-03
"7",28,90,10,"substate_estimates/site_7",2023-01-24
"7",28,90,10,"substate_estimates/site_7",2022-12-28
"7",28,90,10,"substate_estimates/site_7",2022-12-30
"7",28,90,10,"substate_estimates/site_7",2022-12-12
"7",28,90,10,"substate_estimates/site_7",2023-01-12
"7",28,90,10,"substate_estimates/site_7",2022-11-26
"7",28,90,10,"substate_estimates/site_7",2023-04-13
"7",28,90,10,"substate_estimates/site_7",2023-02-27
"7",28,90,10,"substate_estimates/site_7",2022-11-22
