"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"22",28,90,10,"substate_estimates/site_22",2023-02-01
"22",28,90,10,"substate_estimates/site_22",2022-12-31
"22",28,90,10,"substate_estimates/site_22",2023-01-05
"22",28,90,10,"substate_estimates/site_22",2022-11-03
"22",28,90,10,"substate_estimates/site_22",2023-03-18
"22",28,90,10,"substate_estimates/site_22",2023-01-09
"22",28,90,10,"substate_estimates/site_22",2023-02-15
"22",28,90,10,"substate_estimates/site_22",2023-01-06
"22",28,90,10,"substate_estimates/site_22",2023-02-10
"22",28,90,10,"substate_estimates/site_22",2022-12-02
