"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"16",28,90,10,"substate_estimates/site_16",2023-01-23
"16",28,90,10,"substate_estimates/site_16",2022-12-18
"16",28,90,10,"substate_estimates/site_16",2023-02-01
"16",28,90,10,"substate_estimates/site_16",2023-02-21
"16",28,90,10,"substate_estimates/site_16",2022-12-22
"16",28,90,10,"substate_estimates/site_16",2022-12-17
"16",28,90,10,"substate_estimates/site_16",2023-03-20
"16",28,90,10,"substate_estimates/site_16",2022-11-09
"16",28,90,10,"substate_estimates/site_16",2023-01-04
"16",28,90,10,"substate_estimates/site_16",2023-01-24
