"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"18",28,90,10,"substate_estimates/site_18",2022-12-26
"18",28,90,10,"substate_estimates/site_18",2023-03-08
"18",28,90,10,"substate_estimates/site_18",2022-11-22
"18",28,90,10,"substate_estimates/site_18",2022-11-04
"18",28,90,10,"substate_estimates/site_18",2023-01-30
"18",28,90,10,"substate_estimates/site_18",2023-01-27
"18",28,90,10,"substate_estimates/site_18",2022-12-20
"18",28,90,10,"substate_estimates/site_18",2023-03-31
"18",28,90,10,"substate_estimates/site_18",2022-12-18
"18",28,90,10,"substate_estimates/site_18",2023-04-19
